scenario,run_id,t_s,T_h_in_K,T_h_out_K,T_c_in_K,T_c_out_K,delta_P_Pa,U_mean_W_m2K,delta_f_mean_m,delta_f_max_m,freezing_alarm,early_stop,t_h,group,U_ideal,dP_ideal,T_h_out_ideal,T_c_out_ideal,Q_ideal,eps_ideal,U_error,dP_error,T_h_out_error,T_c_out_error,dP_meas_unc,dP_ideal_unc,dP_error_unc
normal_operation,1,0.0,254.184,235.238,119.924,135.026,618.828,255.559,1e-06,1e-06,0,0,0.0,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.06879057494839458,0.38723507022291415,73.19264859027345,-48.29702135643717,1.2376559999999999,61.844076492977706,61.856459562794356
normal_operation,1,60.1671,253.887,162.985,120.21,182.52,619.514,255.545,1.20515e-06,1.44512e-06,0,0,0.016713083333333333,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.08279057494840458,1.0732350702229496,0.9396485902734639,-0.8030213564371707,1.239028,61.844076492977706,61.85648702968882
normal_operation,1,120.334,254.052,162.922,121.063,182.871,619.668,255.532,1.3995e-06,1.89117e-06,0,0,0.033426111111111115,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.09579057494838139,1.227235070222946,0.8766485902734473,-0.45202135643717156,1.239336,61.844076492977706,61.85649319990726
normal_operation,1,180.501,254.251,161.231,121.039,183.116,619.258,255.519,1.59368e-06,2.33688e-06,0,0,0.050139166666666665,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.10879057494838662,0.8172350702229778,-0.8143514097265552,-0.20702135643716701,1.2385160000000002,61.844076492977706,61.856476776094624
normal_operation,1,240.669,253.886,162.396,119.966,183.812,617.518,255.506,1.78772e-06,2.78225e-06,0,0,0.06685250000000001,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.12179057494839185,-0.9227649297770313,0.35064859027343687,0.48897864356283094,1.235036,61.844076492977706,61.85640719594514
normal_operation,1,300.836,253.527,162.191,121.527,183.73,619.823,255.493,1.9816e-06,3.22728e-06,0,0,0.08356555555555556,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.13479057494839708,1.3822350702229187,0.14564859027345278,0.4069786435628089,1.239646,61.844076492977706,61.856499411740025
normal_operation,1,361.003,253.566,161.801,120.251,183.493,621.212,255.479,2.17532e-06,3.67198e-06,0,0,0.10027861111111111,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.14879057494837866,2.7712350702229287,-0.244351409726562,0.1699786435628141,1.242424,61.844076492977706,61.856555147090546
normal_operation,1,421.17,253.278,162.012,120.578,183.751,621.04,255.466,2.3689e-06,4.11634e-06,0,0,0.11699166666666667,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.1617905749483839,2.5992350702229032,-0.033351409726549264,0.4279786435628239,1.2420799999999999,61.844076492977706,61.85654823861155
normal_operation,1,481.337,253.415,161.99,120.64,183.481,617.281,255.453,2.56232e-06,4.56036e-06,0,0,0.1337047222222222,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.17479057494838912,-1.1597649297771113,-0.055351409726540624,0.15797864356281366,1.234562,61.844076492977706,61.856397733792434
normal_operation,1,541.504,253.909,161.935,119.618,183.299,617.799,255.44,2.75558e-06,5.00405e-06,0,0,0.1504177777777778,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.18779057494839435,-0.6417649297770822,-0.11035140972654744,-0.02402135643717429,1.235598,61.844076492977706,61.85641841948887
normal_operation,1,601.671,254.361,161.67,119.96,184.247,619.684,255.427,2.9487e-06,5.4474e-06,0,0,0.16713083333333334,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.20079057494839958,1.2432350702229087,-0.3753514097265622,0.9239786435628332,1.239368,61.844076492977706,61.85649384105683
normal_operation,1,661.838,253.813,162.96,120.364,183.012,618.703,255.413,3.14166e-06,5.89042e-06,0,0,0.1838438888888889,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.21479057494838116,0.26223507022291415,0.9146485902734582,-0.31102135643718043,1.237406,61.844076492977706,61.8564545611702
normal_operation,1,722.006,253.817,162.635,120.121,183.541,619.964,255.4,3.33446e-06,6.3331e-06,0,0,0.20055722222222222,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.2277905749483864,1.523235070222995,0.5896485902734412,0.21797864356281593,1.2399280000000001,61.844076492977706,61.85650506385292
normal_operation,1,782.173,253.859,161.956,120.66,183.537,615.152,255.387,3.52712e-06,6.77544e-06,0,0,0.21727027777777777,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.24079057494839162,-3.2887649297770167,-0.08935140972656086,0.21397864356282525,1.230304,61.844076492977706,61.85631289692018
normal_operation,1,842.34,253.739,162.508,120.344,183.725,617.771,255.374,3.71962e-06,7.21745e-06,0,0,0.23398333333333335,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.25379057494839685,-0.6697649297771022,0.46264859027346006,0.40197864356281343,1.235542,61.844076492977706,61.856417300899686
normal_operation,1,902.507,253.767,162.574,121.019,183.335,619.52,255.361,3.91197e-06,7.65912e-06,0,0,0.2506963888888889,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.2667905749484021,1.0792350702229214,0.5286485902734626,0.011978643562827074,1.23904,61.844076492977706,61.856487270058246
normal_operation,1,962.674,253.691,162.603,120.312,183.523,619.589,255.348,4.10417e-06,8.10046e-06,0,0,0.2674094444444444,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.2797905749483789,1.148235070222995,0.5576485902734589,0.19997864356281525,1.2391780000000001,61.844076492977706,61.85649003447384
normal_operation,1,1022.84,253.9,162.324,120.549,183.422,618.877,255.335,4.29621e-06,8.54147e-06,0,0,0.2841222222222222,normal_operation_run1,255.6277905749484,618.4407649297771,162.04535140972655,183.32302135643718,1055787.9587881449,0.6883448379583313,-0.2927905749483841,0.4362350702228923,0.27864859027346256,0.09897864356281616,1.237754,61.844076492977706,61.856461523706585
